,CPU_Usage,Memory_Usage,Disk_IO,Network_IO,WL_Backup,WL_Crypto_Mining,WL_Database_Query,WL_Video_Streaming,WL_Web_Service,Power_Consumption
0,18.88,43.19,11.4,6.01,False,False,True,False,False,3267.136700154521
1,25.31,45.43,7.68,17.67,False,False,False,True,False,3938.692472584279
2,3.87,49.5,14.08,3.48,False,False,True,False,False,2939.0252516457062
3,20.92,25.88,17.33,4.77,False,False,False,False,True,2844.3184278541044
4,55.59,43.94,10.61,4.48,False,False,False,False,True,4689.137450815998
5,23.99,37.08,6.99,6.85,False,False,False,False,True,3098.1158550614837
6,24.66,39.94,8.85,5.39,False,False,False,False,True,3254.5208367124906
7,32.09,20.4,3.36,20.98,False,False,False,True,False,3177.1063317930393
9,25.39,50.57,11.72,3.24,False,False,False,False,True,3739.353530679482
10,35.82,48.88,14.47,5.75,False,False,False,False,True,4295.904737378734
11,21.61,36.91,11.66,5.98,False,False,False,False,True,3145.858029790465
12,28.22,35.9,15.9,4.1,False,False,True,False,False,3463.844242546961
13,29.28,50.04,11.81,16.77,False,False,False,True,False,4411.039071399545
14,44.95,43.38,26.86,15.4,False,False,False,True,False,5329.902622088301
15,30.87,37.01,10.46,3.01,False,False,True,False,False,3350.7067284385275
17,21.92,34.98,14.58,5.33,False,False,False,False,True,3175.1573784630596
18,43.72,80.88,31.91,5.67,True,False,False,False,False,6583.77564356587
19,26.08,25.36,11.48,5.26,False,False,False,False,True,2820.087177617964
20,3.45,43.46,8.02,4.71,False,False,False,False,True,2473.3861099346404
21,28.39,44.04,19.43,5.17,False,False,True,False,False,3982.3513024033446
22,29.81,23.26,4.64,4.01,False,False,True,False,False,2560.3723881743904
23,30.6,64.63,9.04,5.3,False,False,False,False,True,4475.049859640545
24,33.4,39.93,13.84,3.85,False,False,False,False,True,3744.297788371671
25,37.91,30.91,17.01,12.99,False,False,False,True,False,4041.5524845961904
26,21.19,40.77,7.53,24.62,False,False,False,True,False,3860.9314926754237
27,31.0,34.97,2.25,5.07,False,False,False,False,True,3029.052790578072
28,35.36,30.85,13.1,19.2,False,False,False,True,False,4039.0322326346113
29,22.17,36.78,14.07,3.77,False,False,False,False,True,3171.281007452674
30,43.64,92.7,31.76,4.79,True,False,False,False,False,7021.33134365899
31,32.6,83.91,22.63,3.68,True,False,False,False,False,5815.011776778153
32,36.18,52.17,11.13,24.24,False,False,False,True,False,5053.592016867964
33,32.93,32.86,19.33,5.47,False,False,False,False,True,3733.7444069947096
34,37.35,30.46,6.24,14.35,False,False,False,True,False,3634.4408092335366
35,39.63,44.13,14.11,29.48,False,False,False,True,False,5193.522322990408
36,16.3,32.28,14.39,4.76,False,False,False,False,True,2808.0988192427626
37,30.13,54.54,8.68,33.6,False,False,False,True,False,5185.442133273292
38,20.37,49.77,10.21,4.86,False,False,False,False,True,3507.83656538257
39,27.77,47.14,12.37,4.93,False,False,False,False,True,3791.9441998865636
